"ID","来源","类型 / 版本","原始位置","状态","对应整理文档","备注"
"S-C07-01","WHEELTEC C07A 厂家资料包","本地资料包","`D:\BaiduNetdiskDownload\WHEELTEC C07A核心板(Ti-MSPM0G3507)附送资料`","分批阅读中","[`../hardware/C07A_S27F_LINE_TRACKER_HARDWARE.md`](../hardware/C07A_S27F_LINE_TRACKER_HARDWARE.md)","当前只整理纯循迹相关内容。"
"S-C07-02","S27F 底板原理图","PDF","`...\7.底板相关资料\2.S27F底板资料\1.S27F底板原理图.pdf`","已阅读","[`../hardware/C07A_S27F_LINE_TRACKER_HARDWARE.md`](../hardware/C07A_S27F_LINE_TRACKER_HARDWARE.md)","S27F 已由用户确认。"
"S-C07-03","C07A 搭配 S27F 底板资源分配表","PDF，2026-07-14","`...\7.底板相关资料\2.S27F底板资料\2.C07A搭配S27F底板资源分配表(2026.07.14).pdf`","已阅读","[`../hardware/C07A_S27F_LINE_TRACKER_HARDWARE.md`](../hardware/C07A_S27F_LINE_TRACKER_HARDWARE.md)","只提取当前循迹已涉及资源。"
"S-C07-04","D103A / TB6612FNG 原理图","PDF","`...\2.D103A_TB6612精简版模块资料\1.TB6612FNG模块原理图（D103A）.pdf`","已阅读","[`../hardware/C07A_S27F_LINE_TRACKER_HARDWARE.md`](../hardware/C07A_S27F_LINE_TRACKER_HARDWARE.md)","左右轮映射以已关闭的 Q-002 为准。"
"S-C07-05","C07A 核心板 V1.0 / V1.1 原理图及更新记录","PDF / TXT / PNG","`...\3.原理图\C07A核心板原理图_V1.0（MSPM0G3507）.pdf`、`...V1.1...pdf`、`C07A硬件更新内容记录.txt`","已阅读版本差异","[`../hardware/C07A_S27F_LINE_TRACKER_HARDWARE.md`](../hardware/C07A_S27F_LINE_TRACKER_HARDWARE.md)","核心板已由两个底部按键与厂商识别图确认是 V1.1。"
"S-C07-06","P03B 5 V / 3.3 V 稳压模块原理图","PDF","`D:\X\ElectronicDesignContest2026\补充资料\1.原理图与封装\P03B电源模块原理图.pdf`","已阅读","[`../hardware/P03B_POWER_MODULE.md`](../hardware/P03B_POWER_MODULE.md)","已完成网络与风险整理，额定能力仍待实测。"
"S-MOTION-01","MS42CG 使用手册","PDF，2026-07-30","`D:\X\ElectronicDesignContest2026\补充资料\MS42CG使用手册-20260730.pdf`","已阅读","[`../hardware/MS42CG_ENCODER.md`](../hardware/MS42CG_ENCODER.md)","已确认默认 A/B/PWM/Z 模式和接口电平；不使用其中旧开发板的示例引脚。"
"S-REF-03","2024 H 题校赛 STM32 工程","Keil / STM32 标准外设库","`D:\X\ElectronicDesignContest2026\reference\2024H_keil_early`","`HISTORICAL_REFERENCE`","STM32F103RCT6 后续技术整理","`Project.uvprojx` 目标为 `STM32F103RC`；仅参考启动、UART、定时器和台架经验，不照搬旧 IO、参数或业务代码。"
"S-D36-01","D36A 驱动用户手册","PDF，V1.5，2026-06-17","`D:\BaiduNetdiskDownload\【WHEELTEC】D36A步进电机驱动附送资料\...\1.用户手册与使用教程\D36A驱动用户手册_V1.5_2026.6.17.pdf`","已阅读相关页","[`../hardware/D36A_STEPPER_DRIVER.md`](../hardware/D36A_STEPPER_DRIVER.md)","接口、拨码、安全注意事项。"
"S-D36-02","D36A V1.1 原理图","PDF，V1.1，2026-04-20","`D:\BaiduNetdiskDownload\【WHEELTEC】D36A步进电机驱动附送资料\...\3.原理图\D36A双路步进电机驱动模块_V1.1(2026.04.20).pdf`","已阅读相关页","[`../hardware/D36A_STEPPER_DRIVER.md`](../hardware/D36A_STEPPER_DRIVER.md)","后续网络表复核的原始来源。"
"S-D36-03","D36A 版本说明与识别图","TXT / PNG，V1.1 资料包","`D:\BaiduNetdiskDownload\【WHEELTEC】D36A步进电机驱动附送资料\...\3.原理图`","已阅读","[`../hardware/D36A_STEPPER_DRIVER.md`](../hardware/D36A_STEPPER_DRIVER.md)","V1.1 的 ESD / TVS 差异与丝印位置。"
"S-D36-04","D36A 问题排查和检测方法","PDF，V1.0，2024-11-23","`D:\BaiduNetdiskDownload\【WHEELTEC】D36A步进电机驱动附送资料\...\1.用户手册与使用教程\D36A驱动问题排查和检测方法.pdf`","已阅读","[`../hardware/D36A_STEPPER_DRIVER.md`](../hardware/D36A_STEPPER_DRIVER.md)","电源→芯片→控制引脚的安全排查顺序。"
"S-D36-05","D36A 电阻调节电流参数表","XLSX","`D:\BaiduNetdiskDownload\【WHEELTEC】D36A步进电机驱动附送资料\...\1.用户手册与使用教程\电阻调节电流参数表.xlsx`","已阅读","[`../hardware/D36A_STEPPER_DRIVER.md`](../hardware/D36A_STEPPER_DRIVER.md)","电流计算值与 D36A 手册的八档拨码表一致。"
"S-K230-01","CanMV K230 官方在线教程首页","在线文档","`https://wiki.01studio.cc/docs/canmv_k230`","已阅读目录","[`../hardware/K230_VISION_MODULE.md`](../hardware/K230_VISION_MODULE.md)","最终 K230 文档的主索引。"
"S-K230-02","CanMV K230 供电说明","在线文档","`https://wiki.01studio.cc/docs/canmv_k230/getting_start/power_supply/`","已阅读","[`../hardware/K230_VISION_MODULE.md`](../hardware/K230_VISION_MODULE.md)","5 V 供电边界。"
"S-K230-03","CanMV K230 UART 教程","在线文档","`https://wiki.01studio.cc/docs/canmv_k230/basic_examples/uart/`","已阅读","[`../hardware/K230_VISION_MODULE.md`](../hardware/K230_VISION_MODULE.md)","UART1 / UART2 和终端串口占用。"
"S-K230-04","CanMV K230 Camera 教程","在线文档","`https://wiki.01studio.cc/docs/canmv_k230/machine_vision/camera/`","已阅读","[`../hardware/K230_VISION_MODULE.md`](../hardware/K230_VISION_MODULE.md)","CSI2、GC2093、传感器实例。"
"S-K230-05","CanMV K230 在线训练模型教程","在线文档","`https://wiki.01studio.cc/docs/canmv_k230/machine_vision/train/`","已阅读","[`../hardware/K230_VISION_MODULE.md`](../hardware/K230_VISION_MODULE.md)","K230 模型导出和部署流程。"
"S-K230-06","01Studio 在线训练模型平台","在线服务","`https://ai.01studio.cc`","已登记","[`../hardware/K230_VISION_MODULE.md`](../hardware/K230_VISION_MODULE.md)","不把账号、Cookie、密钥、私有数据或模型成品提交至 Git。"
"S-K230-07","CanMV K230 产品参数","在线文档","`https://wiki.01studio.cc/docs/canmv_k230/intro/canmv_k230/`","已阅读","[`../hardware/K230_VISION_MODULE.md`](../hardware/K230_VISION_MODULE.md)","标准版硬件资源、内存选项、相机、供电和尺寸。"
"S-K230-08","CanMV K230 GPIO 介绍","在线文档","`https://wiki.01studio.cc/docs/canmv_k230/basic_examples/gpio_intro/`","已阅读","[`../hardware/K230_VISION_MODULE.md`](../hardware/K230_VISION_MODULE.md)","40Pin、电源引脚和 GPIO 3.3 V 电平。"
"S-K230-09","CanMV K230 资源下载","在线文档","`https://wiki.01studio.cc/docs/canmv_k230/download/`","已登记","待补原件","官方原理图、芯片手册、例程下载入口；后续下载时记录版本与 SHA-256。"
